#time,accel_x,accel_y,accel_z
825.135341,4019.941968,248.853550,-9992.427178
825.137872,-10470.991698,-401.994197,-10949.556218
825.140402,-248.853550,267.996131,-7886.743290
825.142933,13935.798822,-459.421939,-7810.172966
825.145464,5072.783912,-1856.830338,-8078.169098
825.147995,-2411.965181,3694.518094,-8824.729749
825.150526,2545.963246,784.845813,-9456.434915
825.153057,2756.531635,-2641.676150,-8748.159426
825.155588,-325.423874,-1856.830338,-9035.298138
825.158118,-2105.683888,4402.793584,-9341.579430
825.160649,3905.086483,-3196.810994,-8690.731683
825.163180,-287.138712,-2641.676150,-8461.020714
825.165711,1588.834206,2392.822600,-8767.302006
825.168242,4728.217458,995.414202,-9418.149754
825.170773,-8595.018779,153.140646,-9073.583299
825.173303,-516.849682,0.000000,-9073.583299
825.175834,7274.180704,-3541.377448,-8882.157491
825.178365,-7216.752962,-3885.943902,-8729.016845
825.180896,3330.809059,3330.809059,-8250.452325
825.183441,3981.656806,1454.836141,-7886.743290
825.185987,-7925.028451,-4268.795518,-9533.005238
825.188532,-10394.421374,5742.774240,-9399.007173
825.191078,2813.959378,3101.098090,-9341.579430
825.193623,4268.795518,-5091.926493,-9073.583299
825.196169,-2488.535504,1110.269686,-7408.178770
825.198714,2316.252277,3062.812928,-8365.307810
825.201259,-1607.976787,-1665.404530,-9609.575562
825.203805,-3043.670347,-114.855485,-8575.876198
825.206350,1646.261949,-1301.695494,-8441.878133
825.208896,2737.389054,2067.398726,-8173.882002
825.211441,-612.562586,2373.680019,-8039.883936
825.213987,344.566454,1416.550979,-8939.585234
825.216532,1990.828403,-3273.381317,-9322.436850
825.219078,-5493.920690,2947.957443,-8633.303941
825.221623,-8977.870395,4957.928427,-9743.573627
825.224168,976.271621,-191.425808,-8920.442653
825.226714,-6259.623922,-3445.664544,-10432.706536
825.229259,-5493.920690,2277.967115,-8901.300072
825.231805,1588.834206,3905.086483,-8269.594906
825.234350,2699.103893,-784.845813,-8652.446522
825.236896,-3905.086483,229.710970,-9111.868461
825.239441,3369.094221,2297.109696,-8652.446522
825.241987,4153.940034,-2469.392923,-7695.317482
825.244532,-2316.252277,325.423874,-8327.022648
825.247077,-1531.406464,1550.549045,-9418.149754
825.249623,-1397.408398,1301.695494,-9073.583299
825.252168,-1741.974853,-918.843878,-8882.157491
825.254714,-3330.809059,1837.687757,-8671.589102
825.257259,3866.801322,1569.691626,-8116.454259
825.259805,440.279358,-1990.828403,-9341.579430
825.262350,-9360.722011,2316.252277,-8767.302006
825.264896,6336.194245,2143.969050,-9054.440718
825.267441,-3464.807125,-3522.234867,-9533.005238
825.269986,-1722.832272,6661.618118,-8039.883936
825.272532,12787.243974,325.423874,-8212.167163
825.275077,-1320.838075,-1627.119368,-8193.024582
825.277623,-4019.941968,306.281293,-9360.722011
825.280168,2163.111630,1531.406464,-9418.149754
825.282714,1569.691626,-19.142581,-8288.737486
825.285271,1493.121302,-708.275490,-7810.172966
825.287828,9284.151688,-957.129040,-8422.735552
825.290385,-1014.556782,-3445.664544,-9399.007173
825.292942,-4843.072942,5072.783912,-9131.011042
825.295500,2833.101958,3981.656806,-9169.296203
825.298057,-172.283227,-3924.229064,-8920.442653
825.300614,-4019.941968,191.425808,-8001.598774
825.303171,5647.061336,1646.261949,-8078.169098
825.305728,995.414202,2986.242605,-8690.731683
825.308286,-2086.541307,-1493.121302,-9686.145885
825.310843,-2143.969050,574.277424,-8480.163294
825.313400,3790.230998,1339.980656,-8480.163294
825.315957,4804.787781,-2163.111630,-8614.161360
825.318514,-2258.824534,95.712904,-8441.878133
825.321072,1244.267752,995.414202,-8843.872330
825.323629,3101.098090,-229.710970,-9035.298138
825.326186,-3311.666478,4843.072942,-8595.018779
825.328743,-344.566454,4268.795518,-8307.880067
825.331300,7944.171032,-6029.912952,-9188.438784
825.333858,3273.381317,-1263.410333,-8078.169098
825.336415,-306.281293,7637.889739,-7695.317482
825.338972,3809.373579,-689.132909,-9762.716208
825.341529,-2833.101958,-2143.969050,-8690.731683
825.344086,2163.111630,2201.396792,-8269.594906
825.346644,7829.315547,76.570323,-8480.163294
825.349201,3081.955509,899.701298,-7963.313613
825.351758,-4230.510357,-382.851616,-8575.876198
825.354315,-784.845813,1359.123237,-9494.720077
825.356872,708.275490,-1512.263883,-9513.862658
825.359430,-2297.109696,1990.828403,-7982.456194
825.361987,3694.518094,2718.246474,-8097.311678
825.364544,-727.418070,-3407.379382,-9628.718142
825.367101,-8824.729749,4709.074877,-9322.436850
825.369658,191.425808,3981.656806,-8805.587168
825.372215,5302.494882,-4938.785846,-8461.020714
825.374773,-363.709035,-2584.248408,-8078.169098
825.377330,-1741.974853,3617.947771,-8288.737486
825.379887,7714.460062,746.560651,-9073.583299
825.382444,-1761.117434,-2392.822600,-8288.737486
825.385001,-3905.086483,1914.258080,-7982.456194
825.387524,6087.340694,-516.849682,-8882.157491
825.390046,-8748.159426,-153.140646,-9399.007173
825.392568,-3751.945837,4747.360038,-9418.149754
825.395090,3579.662610,-248.853550,-9016.155557
825.397613,-5111.069074,-1435.693560,-8556.733618
825.400135,-5225.924558,1933.400661,-9131.011042
825.402657,2565.105827,2967.100024,-8958.727814
825.405179,-3062.812928,114.855485,-8173.882002
825.407701,-2794.816797,1435.693560,-8671.589102
825.410224,3981.656806,2009.970984,-8939.585234
825.412746,918.843878,-1244.267752,-8307.880067
825.415268,-2316.252277,1627.119368,-8384.450390
825.417790,746.560651,1052.841944,-9188.438784
825.420312,306.281293,-1014.556782,-8097.311678
825.422835,210.568389,133.998066,-8805.587168
825.425357,-9207.581365,2220.539373,-8403.592971
825.427879,7484.749093,2086.541307,-9360.722011
825.430401,3158.525832,-4173.082614,-8786.444587
825.432924,-3943.371645,2986.242605,-8690.731683
825.435446,4747.360038,1282.552914,-8575.876198
825.437968,-1359.123237,-267.996131,-8518.448456
825.440490,-3196.810994,2986.242605,-9628.718142
825.443012,4900.500685,-191.425808,-9399.007173
825.445535,-248.853550,-1225.125171,-7829.315547
825.448057,-765.703232,1646.261949,-7676.174901
825.450579,10547.562021,1741.974853,-8001.598774
825.453101,5972.485210,-5225.924558,-8863.014910
825.455624,-5627.918755,2067.398726,-8824.729749
825.458146,1837.687757,6221.338760,-8748.159426
825.460668,2029.113565,-4039.084549,-8365.307810
825.463190,-4728.217458,-669.990328,-8384.450390
825.465712,4039.084549,4823.930362,-8958.727814
825.468235,7082.754896,76.570323,-7733.602643
825.470757,6010.770371,-2009.970984,-8786.444587
825.473279,1990.828403,-1129.412267,-8307.880067
825.475801,5130.211654,1397.408398,-8461.020714
825.478323,5570.491013,-937.986459,-8384.450390
825.480846,-1378.265818,574.277424,-8250.452325
825.483368,689.132909,-593.420005,-9686.145885
825.485890,-3828.516160,2526.820666,-9379.864592
825.488428,-3483.949706,5915.057467,-8709.874264
825.490966,6183.053598,-2335.394858,-8882.157491
825.493504,7484.749093,-4728.217458,-8078.169098
825.496041,0.000000,-823.130974,-8422.735552
825.498579,727.418070,6757.331022,-9226.723946
825.501117,1397.408398,3292.523898,-8537.591037
825.503655,1971.685822,-4326.223261,-9284.151688
825.506193,-2871.387120,497.707101,-7982.456194
825.508731,8384.450390,2794.816797,-7657.032320
825.511268,-899.701298,-2029.113565,-9399.007173
825.513806,-8135.596840,2833.101958,-9513.862658
825.516344,1550.549045,-267.996131,-9322.436850
825.518882,-535.992262,-1359.123237,-8575.876198
825.521420,-4192.225195,3637.090352,-7925.028451
825.523957,440.279358,2086.541307,-9475.577496
825.526495,-4249.652938,574.277424,-9992.427178
825.529033,-6623.332957,3656.232933,-8556.733618
825.531571,5302.494882,-267.996131,-7886.743290
825.534109,3732.803256,-3388.236802,-8461.020714
825.536647,-4230.510357,1875.972918,-8614.161360
825.539184,1378.265818,4249.652938,-9245.866526
825.541722,2373.680019,-3120.240670,-8633.303941
825.544260,-421.136778,153.140646,-8327.022648
825.546798,-765.703232,2775.674216,-7293.323285
825.549336,3675.375514,669.990328,-8786.444587
825.551874,1607.976787,-574.277424,-9016.155557
825.554411,-6144.768437,2584.248408,-8480.163294
825.556949,306.281293,1014.556782,-8997.012976
825.559487,1225.125171,-842.273555,-9437.292334
825.562025,-5187.639397,5857.629725,-7963.313613
